"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5450","test_valid_login","","2026-06-12","passed","2026-06-12","","","",""
"","11583","test_maintenance_page","tests","2026-06-23","passed","2026-06-23","","test_maintenancepage","",""
"","24015","test_buzz_page","","2026-06-23","passed","2026-06-23","","","",""
"","366","test_pim_page","","2026-06-23","passed","2026-06-23","","","",""
"","15617","test_claim_page","tests","2026-06-23","passed","2026-06-23","","test_claimpage","",""
"","0","test_valid_login","","2026-06-10","skipped","2026-06-10","","","",""
"","11390","test_recruitment_page","tests","2026-06-23","passed","2026-06-23","","test_recruitmentpage","",""
"","0","test_admin_page","","2026-06-12","skipped","2026-06-12","","","",""
"","51352","test_admin_page","","2026-06-12","passed","2026-06-12","","","",""
"","68880","test_buzz_page","","2026-06-23","passed","2026-06-23","","","",""
"","6217","test_time_page","tests","2026-06-23","passed","2026-06-23","","test_timepage","",""
"","10003","test_pim_page","","2026-06-12","passed","2026-06-12","","","",""
"","7279","test_performance_page","tests","2026-06-23","passed","2026-06-23","","test_performancepage","",""
"","12544","test_pim_page","tests","2026-06-23","passed","2026-06-23","","test_pimpage","",""
"","24938","test_time_page","","2026-06-16","passed","2026-06-16","","","",""
"","3326","test_buzz_page","tests","2026-06-23","passed","2026-06-23","","test_buzzpage","",""
"","13865","test_time_page","","2026-06-16","passed","2026-06-16","","","",""
"","13788","test_valid_login","tests","2026-06-23","passed","2026-06-23","","test_login","",""
"","153204","test_buzz_page","","2026-06-23","passed","2026-06-23","","","",""
"","35955","test_admin_page","tests","2026-06-23","broken","2026-06-23","","test_adminpage","",""
"","1789","test_search","tests","2026-06-23","passed","2026-06-23","","test_search","",""
"","6341","test_leave_page","tests","2026-06-23","passed","2026-06-23","","test_leavepage","",""
